Order ID,Customer Name,Category,Subcategory,City,Orderdate,Region,Sales,Discount,Profit,State
ORD100000,Isha Sharma,Fruits & Vegetables,Apple,Chennai,15-10-24,South,4172.71,0.21,518.97,Tamil Nadu
ORD100001,Sneha Nair,Dairy,Paneer,Kolkata,09-06-24,East,1052.26,0.28,183.75,West Bengal
ORD100002,Isha Joshi,Fruits & Vegetables,Tomato,Jaipur,07-09-24,North,1139.67,0.05,108.12,Rajasthan
ORD100003,Rohan Sharma,Snacks,Cake,Kolkata,06-09-25,East,2985.53,0.21,221.45,West Bengal
ORD100004,Ananya Sharma,Dairy,Paneer,Mumbai,26-12-23,West,1272.74,0.01,305.74,Maharashtra
ORD100005,Rohan Sharma,Grocery,Rice,Hyderabad,12-07-23,South,4469.34,0.14,778.53,Telangana
ORD100006,Diya Gupta,Bakery,Pastry,Hyderabad,28-11-24,South,9726.53,0.11,2086.33,Telangana
ORD100007,Rahul Mehta,Bakery,Croissant,Hyderabad,10-07-24,South,7759.9,0.19,511.76,Telangana
ORD100008,Priya Singh,Bakery,Rusk,Lucknow,22-03-24,North,4742.97,0.02,630.29,Uttar Pradesh
ORD100009,Kunal Joshi,Household,Mop,Pune,27-03-24,West,429.53,0.22,20.89,Maharashtra
ORD100010,Diya Joshi,Fruits & Vegetables,Onion,Bengaluru,09-08-24,South,9950.87,0.11,1275,Karnataka
ORD100011,Isha Gupta,Beverages,Juice,Bengaluru,03-05-25,South,3569.63,0.24,241.35,Karnataka
ORD100012,Aarav Singh,Household,Detergent,Chennai,31-05-25,South,6641.73,0.29,816.24,Tamil Nadu
ORD100013,Isha Kumar,Beverages,Soft Drinks,Delhi,11-11-23,North,7804.01,0.07,866.14,Delhi
ORD100014,Aarav Patel,Household,Cleaner,Kolkata,04-02-24,East,2218.95,0.27,396.48,West Bengal
ORD100015,Sneha Singh,Snacks,Chocolate,Mumbai,04-02-24,West,1084.15,0.19,193.5,Maharashtra
ORD100016,Rohan Joshi,Household,Tissue,Delhi,27-08-24,North,3469.18,0.02,747.45,Delhi
ORD100017,Rohan Gupta,Bakery,Bun,Bengaluru,25-03-24,South,8193.97,0.28,1405.09,Karnataka
ORD100018,Ananya Mehta,Grocery,Flour,Chennai,23-03-25,South,8203.82,0.29,427.8,Tamil Nadu
ORD100019,Vivaan Kumar,Household,Bucket,Pune,24-06-25,West,2725.72,0.03,440.45,Maharashtra
ORD100020,Aarav Kumar,Bakery,Bun,Hyderabad,16-10-24,South,4800.92,0.08,563.98,Telangana
ORD100021,Sneha Singh,Snacks,Chocolate,Lucknow,30-04-25,North,6142.57,0.01,858.09,Uttar Pradesh
ORD100022,Priya Patel,Personal Care,Deodorant,Delhi,11-10-24,North,5102.34,0.08,1060.6,Delhi
ORD100023,Kunal Nair,Fruits & Vegetables,Potato,Mumbai,01-12-23,West,721.14,0.04,85.85,Maharashtra
ORD100024,Priya Sharma,Household,Bucket,Chennai,24-12-23,South,3705.04,0.23,467.22,Tamil Nadu
ORD100025,Priya Patel,Fruits & Vegetables,Potato,Ahmedabad,30-08-25,West,309.31,0.14,13.64,Gujarat
ORD100026,Diya Gupta,Beverages,Water,Lucknow,08-12-23,North,7212.69,0.1,840.83,Uttar Pradesh
ORD100027,Sneha Sharma,Bakery,Bread,Hyderabad,19-11-24,South,2215.03,0.28,196.29,Telangana
ORD100028,Rahul Joshi,Snacks,Namkeen,Ahmedabad,30-10-23,West,6150.49,0.16,1000.54,Gujarat
ORD100029,Sneha Singh,Dairy,Butter,Lucknow,14-07-24,North,668.85,0.16,91.16,Uttar Pradesh
ORD100030,Aarav Sharma,Dairy,Milk,Mumbai,14-03-24,West,8060.27,0.24,1158.44,Maharashtra
ORD100031,Aarav Sharma,Bakery,Bun,Mumbai,22-12-24,West,1191.88,0.07,155.86,Maharashtra
ORD100032,Ananya Mehta,Grocery,Rice,Bengaluru,17-05-25,South,6351.13,0.19,923.39,Karnataka
ORD100033,Rahul Reddy,Bakery,Bread,Jaipur,17-02-24,North,1341.55,0.18,192.45,Rajasthan
ORD100034,Diya Kumar,Household,Mop,Jaipur,05-05-24,North,6768.74,0.09,626.02,Rajasthan
ORD100035,Rahul Nair,Snacks,Namkeen,Ahmedabad,22-08-24,West,2095.64,0.08,420.13,Gujarat
ORD100036,Isha Singh,Beverages,Coffee,Chennai,19-04-23,South,9980.91,0.28,916.41,Tamil Nadu
ORD100037,Rahul Singh,Fruits & Vegetables,Tomato,Jaipur,01-06-25,North,3838.9,0.15,233.79,Rajasthan
ORD100038,Vivaan Reddy,Bakery,Pastry,Chennai,20-12-24,South,4975.14,0.29,437.95,Tamil Nadu
ORD100039,Priya Patel,Bakery,Pastry,Lucknow,03-03-23,North,1889.82,0.28,198.67,Uttar Pradesh
ORD100040,Isha Mehta,Beverages,Tea,Kolkata,27-05-25,East,3065.69,0.17,602.15,West Bengal
ORD100041,Ananya Reddy,Snacks,Chips,Kolkata,15-07-25,East,7542.3,0.06,1359.4,West Bengal
ORD100042,Ananya Sharma,Personal Care,Deodorant,Mumbai,01-08-23,West,618.66,0,60.74,Maharashtra
ORD100043,Priya Das,Dairy,Milk,Bengaluru,15-11-24,South,6672.94,0.1,956.14,Karnataka
ORD100044,Isha Reddy,Personal Care,Cream,Delhi,04-08-25,North,8668.62,0.29,559.74,Delhi
ORD100045,Priya Joshi,Bakery,Pastry,Bengaluru,09-07-25,South,7707.93,0.26,1225.95,Karnataka
ORD100046,Vivaan Patel,Bakery,Bread,Delhi,23-04-24,North,7035.45,0.14,1087.47,Delhi
ORD100047,Ananya Kumar,Household,Mop,Mumbai,09-10-23,West,8017.98,0.26,362.08,Maharashtra
ORD100048,Sneha Kumar,Fruits & Vegetables,Apple,Ahmedabad,17-06-24,West,5253.89,0.18,659.21,Gujarat
ORD100049,Rahul Das,Snacks,Chips,Pune,28-09-23,West,6789.5,0.25,1270.94,Maharashtra
ORD100050,Diya Kumar,Dairy,Paneer,Chennai,15-07-24,South,4835.71,0.17,972.42,Tamil Nadu
ORD100051,Kunal Sharma,Beverages,Water,Mumbai,25-09-23,West,8484.8,0.18,1279.65,Maharashtra
ORD100052,Vivaan Joshi,Fruits & Vegetables,Banana,Lucknow,10-06-24,North,9178.48,0.13,897.39,Uttar Pradesh
ORD100053,Rohan Singh,Personal Care,Deodorant,Chennai,03-01-24,South,5468.75,0.14,799.49,Tamil Nadu
